初中英语单词|devise|英[dɪ'vaɪz] 美[dɪ'vaɪz]|v. 设计，发明|he devised a new method for teaching the blind.|他设计出一种教导盲人的新方法。|初中英语单词
初中英语单词|two|英[tuː] 美[tuː]|num. 二；两个|Two plus five is seven.<br>All things invariably divide into two.<br>At that time he had two helpers.<br>The two boys decided to play truant and go fishing.|二加五等于七。<br>事物都是一分为二的。<br>当时他有两个助手。<br>这两个男孩决定逃学去钓鱼。|初中英语单词
初中英语单词|too|英[tuː] 美[tuː]|adv. 也；太；而且；很|I will go, provided that you go too.<br>It's too early for getting up.<br>She broke her leg last week-and on her birthday too!<br>I know too well that I get on her tits.|你也去的话我就去。<br>现在起床还太早。<br>她上星期把腿摔断了，而且还是在她生日那一天！<br>我很明白自己惹怒了她。|初中英语单词
初中英语单词|three|英[θriː] 美[θriː]|num. 三<br>n. 三；三个<br>adj. 三个的|He is only a child of three.<br>Three of the chickens hatched today.|他只是一个三岁的孩子。<br>今天有三只小鸡出壳。|初中英语单词
初中英语单词|are|英[ɑː(r)] 美[ɑːr]|v. 是、在（系动词 be 的现在时、用于第二人称或复数）|Don't cry, you are a big boy now.<br>There are enough people to do the job.|别哭，你现在已经是大男孩了。<br>有足够的人做这项工作。|初中英语单词
初中英语单词|you|英[ju] 美[jə]|pron. 你；你们；（泛指）任何人|Do you speak English?<br>I shall await you at seven-thirty or thereabouts.<br>You must all listen carefully.<br>Do you have a room available?<br>Nobody wants to help you in this town.|你会说英语吗？<br>我将在 7 点 30 分左右等着你。<br>你们都必须仔细听着。<br>你们有空房间吗？<br>在这座小城市里没有人愿意帮助别人。|初中英语单词
初中英语单词|yes|英[jes] 美[jes]|adv. 是；是的<br>n. 是（表示肯定）<br>v. 对…说是|Yes, you're quite right.<br>Yes, I don't see why not.<br>Yes, it's still in my mind.<br>Yes, perhaps I'm wrong there.<br>Did he give a yes or a no to your idea?<br>Answer with a plain "yes" if you agree with me.<br>The boy kept yessing when his father was talking with him.|是的，你很对。<br>是的，我看不出有什么不好。<br>是的，这事仍在我的记忆里。<br>是的，在这点上也许我错了。<br>他对你的想法表示赞成还是反对？<br>如果你同意我的意见，就明白地回答「是」。<br>那个男孩在他爸爸对他说话时连声说是。|初中英语单词
初中英语单词|four|英[fɔː(r)] 美[fɔːr]|num. 四|Six minus two equals four.<br>This street is four times shorter than that one.<br>He arranged his speech under four main heads.<br>The leap year comes around once in four years.|六减去二等于四。<br>这条街道比那条短四倍。<br>他把发言内容归纳成四个主要方面。<br>每四年有一个闰年。|初中英语单词
初中英语单词|five|英[faɪv] 美[faɪv]|num. 五|My company is five miles distant from my home.<br>That car went out of production five years ago.<br>Linda has to commute about five miles to the city.<br>We've got to fit five people plus all their luggage in the car.|公司距离我家五英里远。<br>那种汽车已经停产五年了。<br>玛丽每天得走约五英里的路去城里上班。<br>我们得在汽车里挤下五个人和全部行李。|初中英语单词
初中英语单词|no|英[nəʊ] 美[noʊ]|adv. 不<br>adj. 没有；不是；禁止<br>n. 否定的回答；投反对票者|The sick man is no better.<br>You are very selfish sometimes.---No,I'm not.<br>He has no money.<br>It is no joke.<br>I am no match for him.<br>No smoking.<br>No talking in class.<br>It's time for us to say "No" to America.<br>A mature person should learn to say 'No'.<br>He responded no to the teacher's question.<br>The noes have it.<br>There were more noes than yeses to the proposal.|那病人一点也没有好转。<br>你有时很自私的。-- 不，我不自私。<br>他没有钱。<br>这可不是开玩笑的事。<br>我绝不是他的对手。<br>禁止吸烟。<br>上课中禁止讲话。<br>是我们对美国说不的时候了。<br>一个成熟的人应该知道拒绝别人。<br>他对老师的问题作了否定的回答。<br>投反对票者占多数。<br>对于这个提议，否决票比赞成票要多。|初中英语单词
初中英语单词|not|英[nɒt] 美[nɑːt]|adv. 不；没有；并非|I'm not really sure.<br>It's not your fault.<br>We are not teachers.<br>They will not agree.<br>David did not have a book to his name.<br>His new book did not come up to expectation.<br>He was not unlearned in history.<br>Fortune has not always smiled on him.|我不太清楚。<br>不是你的错。<br>我们不是老师。<br>他们不会同意。<br>大卫没有一本属于他自己的书。<br>他的新作没有达到预期水平。<br>他对历史并非无知。<br>命运之神并非总是对他微笑。|初中英语单词
初中英语单词|hi|英[haɪ] 美[haɪ]|int. 嗨（引人注意时的喊声；打招呼）|My friend said hi to me at school.|我的朋友在学校跟我说嗨。|初中英语单词
初中英语单词|class|英[klɑːs] 美[klæs]|n. 等级；阶级；阶层；班级；课；[生]纲；<口>出色的风度<br>v. 分类|I wouldn't put him in the same class as Verdi.<br>All of us are working class.<br>They are the leading class in our country.<br>We were both in the same class.<br>He took the ninth position in his class of forty.<br>My violin class starts at 4:30 every day.<br>Tom came to school late and missed the first class.<br>Like the dahlia, the cornflower Centaurea cyanus belongs to class 19.<br>His performance showed enormous class.<br>Immigrant workers were classed as resident aliens.|我没把他看作是与维迪一个级别的。<br>我们都是工人阶级。<br>在我们国家，他们是领导阶级。<br>那时我们在同一个班。<br>他在 40 个人的班级里排在第九名。<br>我的小提琴课每天四点半开始。<br>汤姆迟到且没有上到第一堂课。<br>与大丽花一样，矢车菊也同属 19 纲。<br>他的表现显示出极好的风度。<br>移民来的工人已归入外侨类。|初中英语单词
初中英语单词|grade|英[ɡreɪd] 美[ɡreɪd]|n. 等级；年级；成绩；斜坡<br>v. 分级；评分；渐次变化|This grade of wool can be sold at a fairly low price.<br>He's not in the first grade as a musician.<br>He is in the third grade.<br>He received a failing grade on the term paper.<br>They grade eggs before they send them to the shops.<br>How does a professor grade a student's work?<br>The colors graded gradually from orange to yellow.|这种等级的羊毛只能以相当低的价格卖出。<br>他不是第一流的音乐家。<br>他读三年级。<br>他的期末报告不及格。<br>他们先把鸡蛋分等再送往商店。<br>一个教授是怎样给学生打分的？<br>这些颜色逐渐地从橙色变成黄色。|初中英语单词
初中英语单词|six|英[sɪks] 美[sɪks]|num. 六|It is about six o'clock now.<br>The heifer is only six months old.<br>The murder trial lasted six weeks.<br>The tree is said to be six hundred years old.|现在是六点钟左右。<br>这只小母牛只有六个月大。<br>法庭对这一谋杀案的审理为时六周。<br>这树约莫已有 600 年树龄了。|初中英语单词
初中英语单词|seven|英['sevn] 美['sevn]|num. 七|There are seven continents in the world.<br>Four multiplied by seven is twenty-eight.<br>I have seven roommates in my university.|世界上有七大洲。<br>7 乘 4 等于 28。<br>上大学时，我有七个室友。|初中英语单词
初中英语单词|eight|英[eɪt] 美[eɪt]|num. 八<br>n. 八人划船队<br>adj. 八个的|I'm hardly functional if I don't get eight hours' sleep!<br>You are restricted to eight liters of duty-free wine.<br>There are eight forts in this section of the Great Wall.<br>Five members voted for the proposal, eight voted against, and two abstained.<br>I am sorry, you can only buy traveler's check at Window Eight.<br>His eight sons largely inherited his fortune.<br>There are eight students in the classroom.|我要是不睡上八个小时就无法工作。<br>携带的免税酒不得超过八升。<br>这一段长城有八个垛口。<br>对于这项建议，五人投票赞成，八人反对，两人弃权。<br>对不起，你只能在八号窗口买旅行支票。<br>他的八个儿子继承了他的大部分遗产。<br>教室里有八个学生。|初中英语单词
初中英语单词|nine|英[naɪn] 美[naɪn]|num. 九|I'll leave for Shanghai at nine.<br>I have nine dolls in the bedroom.<br>Nine people came in and the remainder stayed outside.<br>Are you sure you can come by at nine?<br>I arrive at the hospital at eight o'clock, but I don't go on duty until nine.|九点钟，我将赴上海。<br>我的卧室里有九个布娃娃。<br>9 个人进来，余下的人留在外面。<br>你肯定你九点能来吗？<br>我八点钟就到医院了，但是九点钟我才去值班。|初中英语单词
初中英语单词|ten|英[ten] 美[ten]|num. 十|He has been an exile for ten years.<br>The dictator met his doom after ten years of rule.|他已经流亡十年。<br>独裁者统治了十年终於完蛋了。|初中英语单词
初中英语单词|zero|英['zɪərəʊ] 美['zɪroʊ]|n. 零；零度；最低点；完全没有；无足轻重的人或物<br>adj. 零的；无价值的；零视度的<br>v. 把……调零；瞄准；集中注意；迫近|Make sure you are not dividing by zero.<br>It was five below zero last night.<br>The temperature will be above zero.<br>The reputation of the conjurer was rapidly sinking below zero.<br>His hope was reduced to zero.<br>You're dating her? She's such a zero!<br>The probability of a peace agreement being reached is zero.<br>Zero choice is the fastest route to low quality.<br>He is well-known for his capability to zero out taxes for his clients.<br>You should zero in a machine gun at 500 yards.<br>We shouldn't be vague; we should zero in on the cause of the problem.|确保不会除零。<br>昨夜温度是零下五度。<br>气温将在零度以上。<br>魔术师的信誉一下子下降到最低点。<br>他的希望化为乌有。<br>你要跟她约会？她这人一无所长！<br>达成和平协定的概率是零。<br>零选择是通向低质量的最快捷路线。<br>他以能够为客户合法避税出名。<br>你应该把机枪的瞄准器调整到 500 码的距离上。<br>我们不应该含糊，我们应该把注意力集中在问题的起因上。|初中英语单词
初中英语单词|plus|英[plʌs] 美[plʌs]|prep. 加；加上<br>adj. 正的；超过的<br>n. 正数；加号；优势<br>conj. 并且|Two plus five is seven.<br>The bill was 10, plus 1 for postage.<br>We've got to fit five people plus all their luggage in the car.<br>5 is a plus quantity.<br>The temperature is plus four degrees.<br>The work will cost 10000plus.<br>He seems to have mistaken a plus for a minus.<br>Her knowledge of French is a plus in her job.<br>Their strength plus their spirit makes them formidable. Intelligence plus wit makes for an interesting person.|二加五等于七。<br>帐款是 10 英镑，再加上 1 英镑邮费。<br>我们得在汽车里挤下五个人和全部行李。<br>五是一个正数。<br>温度为零上四度。<br>那作品可值 10000 英镑以上。<br>他似乎把正号误作负号了。<br>她会法语<br>他们的力量再加上勇气使得他们难于战胜。智慧加上机智就会造就一个有趣的人|初中英语单词
初中英语单词|it|英[ɪt] 美[ɪt]|pron. 它|It sounds a great idea.|这听起来是个极好的主意。|初中英语单词
初中英语单词|it's|英[ɪts] 美[ɪts]|abbr.（=it is）它是；（=it has）它有；它已经|It's her fifth birthday.|这是她五岁生日。|初中英语单词
初中英语单词|how|英[haʊ] 美[haʊ]|adv. 怎样；多么；如何<br>conj. 如何；怎样；以……方式<br>n. 方式|How can we divert her thoughts from her sad loss?<br>How can I drive away these feelings of sadness?<br>How pleasant it is to dine on Chinese food!<br>How grand the mountains look in the early evening!<br>How are you doing with your new boss?<br>It was difficult to gauge how people would respond.<br>I wonder how he got voted out of office.<br>Let me show you how our filing system works.<br>How do I pay for my rental service?|我们怎样才能使他不再想到她可悲的损失？<br>我该怎样做才能驱散忧伤？<br>吃上中餐是多么令人愉快啊！<br>暮色中群山是多么壮丽！<br>你跟你的新上司处得如何？<br>大家的反应如何难以估计。<br>我不知道他是怎样被投票罢免的。<br>我来教你我们公司的归档方式。<br>那么租车时我以什么方式来付款呢？|初中英语单词
初中英语单词|old|英[əʊld] 美[oʊld]|adj. 老的；过去的；旧的，破旧的；……岁的<br>n. 旧时|The old lady fondled her cat as it sat beside her.<br>He invited me to his home to talk over old times.<br>The cupboard was stuffed with old fishing tackle.<br>Public opinion was against the old feudal system.<br>How old are you?<br>His five-year old son stuck to him like a leech.|老妇人抚摸着蹲在身边的小猫。<br>他邀我到他家里去聊聊过去的事。<br>小橱里塞满了旧的钓鱼用具。<br>公众舆论反对旧的封建制度。<br>你多大了？<br>他那五岁的儿子总缠着他。|初中英语单词
初中英语单词|eleven|英[ɪ'levn] 美[ɪ'levn]|n. 十一；十一个一组<br>adj. 十一的<br>pron. 十一个|The meeting broke up at eleven o'clock.<br>Mr Hood said that he would have to go on, as he was due at a meeting at eleven o'clock.<br>Not until eleven o'clock did he come home.<br>I have received eleven Christmas cards by now.<br>A cricket team is comprised of eleven players.<br>There are eleven players in the game.<br>The little boy left primary school at eleven.<br>There are eleven in the room.|会议在十一点钟散会。<br>胡德先生说由于他 11 点钟要出席一个会议，得先走一步了。<br>他到十一点才回家。<br>到现在为止，我已经收到了十一张圣诞卡片。<br>一个板球队由 11 名队员组成。<br>这场比赛中有 11 名选手。<br>这个小男孩十一岁时小学毕业。<br>屋里有十一个人。|初中英语单词
初中英语单词|twelve|英[twelv] 美[twelv]|num. 十二|She often puts in twelve hours' work a day.<br>How old are you? I am twelve (years old).<br>The clock struck at twelve o'clock sharp.|她常常一天工作十二小时。<br>你几岁？我十二岁。<br>钟在整十二点钟打点。|初中英语单词
初中英语单词|minus|英['maɪnəs] 美['maɪnəs]|adj. 负的；减的<br>n. 减号；负数；缺点<br>prep. 减去|The temperature is minus twenty degrees.<br>He seems to have mistaken a plus for a minus.<br>He calculated his gains and losses of money and the result was a minus.<br>Let's consider the pluses and minuses of moving house.<br>Seven minus three equals four.|温度是零下二十度。<br>他似乎把正号误作负号了。<br>他计算了收益和亏损，所得结果是个负数。<br>咱们考虑一下搬家的利弊吧。<br>七减三等于四。|初中英语单词
初中英语单词|thirteen|英[ˌθɜː'tiːn] 美[ˌθɜːr'tiːn]|num. 十三|The number thirteen is often considered unlucky.<br>When she was thirteen, her family moved to England.|十三这个数字常常认为是个不吉利的数字。<br>十三岁时，她们家搬到了英国。|初中英语单词
初中英语单词|fourteen|英[ˌfɔː'tiːn] 美[ˌfɔːr'tiːn]|num. 十四|She toured the U.S. when she was fourteen.<br>My younger sister is all but fourteen years old.|她十四岁时就在美国旅游观光。<br>我妹妹差不多十四岁了。|初中英语单词
初中英语单词|fifteen|英[ˌfɪf'tiːn] 美[ˌfɪf'tiːn]|num. 十五|He has fifteen workers in his employ.<br>Fifteen separate republics comprised the Soviet Union.<br>I caught six trout in fifteen minutes.<br>Most students in this class are fifteen.<br>The average age of the boys in this class is fifteen.|他雇佣的工人有十五名。<br>苏联由十五个加盟共和国组成。<br>我在十五分钟内钓到了六条鳟鱼。<br>这个班的大多数孩子都十五岁。<br>本班男生的平均年龄是十五岁。|初中英语单词
初中英语单词|hello|英[hə'ləʊ] 美[hə'loʊ]|int.（打招呼）喂；你好|She said hello to her friend with a big smile.|她对朋友笑着说了 hello。|初中英语单词
初中英语单词|please|英[pliːz] 美[pliːz]|adv. 请（=plz）<br>v. 使高兴；使满意；愿意；取悦|Please come with me.<br>Please call if you require assistance.<br>Please fill in the arrival card.<br>It is better to please a fool than to anger him.<br>It's difficult to please everybody.<br>I am not bound to please you with my service.<br>Take as many as you please.<br>I have a right to go where I please.<br>And you can do the same thing if you please.<br>He's very hard to please.|请跟我来。<br>如果需要帮忙，请打电话。<br>请填写这张入境卡。<br>惹得傻瓜发火，不如使他快乐。<br>很难做到人人满意。<br>我没有义务非得要侍候得使你满意不可。<br>你要多少就拿多少。<br>我有权去我愿意去的地方。<br>只要你愿意，你也可如此。<br>取悦他很难。|初中英语单词
初中英语单词|can|英[kæn] 美[kæn]|aux. 可以；能<br>n. 罐头<br>v. 罐装；<口>解雇|You can count on me.<br>How can you say that?<br>I don't have a pen. Can yon lend me one?<br>As long as he comes,the problem can be solved.|你可以指望我。<br>你怎么可以这样说？<br>我没有笔，你能借我一支吗？<br>只要他来，问题就能解决。|初中英语单词
初中英语单词|spell|英[spel] 美[spel]|v. 拼写；拼成；导致；暂时代替<br>n. 咒语；魔力；一段时间；一阵发作；轮班|I don't know how to spell your name.<br>Can you spell the word" metropolis"?<br>Her writing is neat, but she can't spell.<br>Put them all together, and they spell MOTHER.<br>C-A-T spells cat.<br>I'd better go spell Mitch for a couple of hours.<br>The witch put the princess under a spell, and she fell asleep for ten years.<br>Can you feel the mysterious spell of music?<br>After a short spell in hospital she was soon back at work.<br>It looks as if we were in for a cold spell.<br>She had a spell of dizziness, but soon pulled out of it.<br>It says the spell will last another six days.|我不会拼写你的名字。<br>你会拼写「metropolis」这个词吗？<br>她的书写很工整，但是她不会拼写。<br>把它们拼在一起<br>C-A-T 拼成 cat。<br>我最好代替米奇几个小时。<br>这女巫使公主中了巫术，沉睡了十年。<br>你能感受到音乐的神奇魔力吗？<br>她在医院住了一段时间后，很快又回来上班了。<br>看样子要过一段寒潮天气。<br>她感到一阵头晕，但不一会儿就好了。<br>据说轮班还要持续 6 天。|初中英语单词
初中英语单词|that|英[ðæt] 美[ðæt]|pron. 那<br>conj. 引导从句<br>adj. 那个；上文提到的<br>adv. 非常；那么地|What is the difference between this and that?<br>I walked to the gate that opened towards the lake.<br>The output of steel this year has increased by 20% compared with that in 1992.<br>I am well aware that this is a tough job.<br>He claimed that the newspaper report was a libel.<br>That she is still alive is really a relief to us all.<br>That girl frequents my dreams--I think she is just the one for me.<br>He once lived in a small village. That village is surrounded by high mountains.<br>Is your problem that complicated?<br>You needn't take what he said that seriously.<br>Life isn't that bad if you just believe in its beauties.|这个和那个之间的区别是什么？<br>我走向那扇临湖的大门。<br>今年钢产量比一九九二年增长了百分之二十。<br>我深知这是一件棘手的工作。<br>他声称报纸上的报导是一种诽谤。<br>她还活着，这真是令我们所有人都感到宽慰的一件事。<br>那个女孩经常出现在我的梦中——我想她就是我命中要追寻的那个人。<br>他曾经在一个小村庄里生活过。那个小村庄四面都被高山环绕。<br>你的问题非常复杂吗？<br>你不需要很认真地接受他的话。<br>如果你相信美好事物的存在，那么生活就没有那么糟糕。|初中英语单词
初中英语单词|secret|英['siːkrət] 美['siːkrət]|n. 秘密；奥秘；秘诀<br>adj. 秘密的；机密的|His secret died with him, for he never told anyone.<br>What new secrets of the universe will the new telescope reveal?<br>What's the secret of baking perfect bread?<br>We discovered a secret passage behind the wall.<br>The congressman denied that the report was being kept secret.|他的秘密至死也不为人知，因为他从未告诉过别人。<br>新的望远镜将会给我们展示宇宙的哪些新奥秘呢？<br>烤出好面包的秘诀是什么？<br>我们在墙后发现了一个秘密通道。<br>该国会议员否认这是一份机密报告。|初中英语单词
初中英语单词|this|英[ðɪs] 美[ðɪs]|pron. 这；这个<br>adj. 这个<br>adv. 这样；这么|This is, in part, my own mistake.<br>Now don't laugh when you hear this.<br>It's about this high.|在某种程度上来说，这是我自己的错。<br>听了这个你不要笑。<br>大约有这样高。|初中英语单词
