#separator:|
#html:true
#notetype:正反注释
#deck:New::语文::成语

# 1-100

哀而不伤|1、原来指悲伤不至于使人伤害身心。后形容诗歌、音乐优美雅致，感情适度，具中和之美。<br>2、比喻做事情适中，没有过与不及之处。<br>3、指悲伤而不过分，并非不伤心。|哀，悲哀；伤，妨害。
暴戾恣睢|形容凶残横暴，想怎么干就怎么干。|暴戾：凶恶、残暴；恣睢（suī）：任意做坏事。
抱残守缺|守住陈旧、残破的东西，不肯放弃。形容保守不知改进。|抱，坚持不放。
半青半黄|庄稼半熟半不熟。也用以比喻其他事物或思想未达到成熟阶段。|「错例」他气得脸色半青半黄，嘴唇哆嗦了半天，什么话也说不出来。
半斤八两|比喻彼此一样，不相上下。多含贬义。|旧制一斤合十六两，半斤等于八两。<br>「错例」陕西剪纸粗犷朴实，简练夸张，同江南一带细致工整的风格相比，真是半斤八两，各有千秋。
筚路蓝缕|驾着柴车，穿着破衣服，去开辟山林。形容创业的艰辛。|筚（bì）路，也写作（荜路），柴车。蓝缕（lǚ），破旧的衣服。
敝帚自珍|家里的破扫帚也被自己珍惜，比喻自己的东西虽然不好，却非常珍爱。|「敝帚自珍」适用于自己，而不能用于别人。<br>「错例」这是一位已故著名作家的作品，由于各种原因一直没有发表，这次出版对编辑来说也有点敝帚自珍的意味。例句中的「作品」是「已故著名作家」的，而不是「编辑」自己的，当属于对象用错。
别无长物|没有多余的东西。形容穷困或俭朴。|长：cháng。
笔走龙蛇|形容书法或文章洒脱雄健，很有气势。|「错例」现在少数媒体放着有重要新闻价值的素材不去挖掘，反倒抓住某些明星的一些逸闻就笔走龙蛇，这种做法真是令人费解。例句中却用来说「做法」，用错对象。
斑驳陆离|形容色彩繁杂。|「正例」下面，就让我们一起来欣赏古瓷的细润秀美、古玉的丰腴有泽和古钱的斑驳陆离吧。
别开生面|另外开创新的局面或创造新的格局。|生面，新的格局。
不法常可|不盲目效法因袭历来所认可的事。|常可：永久不变的道理，成规。
不逞之徒|因失意而胡作非为的人。|不逞，不如意，欲望没能满足。
不刊之论|形容不能改动或不可磨灭的言论。|刊：削除，删改。<br>「错例」这篇文章写得太差，真是不刊之论。（不能把「刊」理解成「刊登」。）
不易之论|形容论断或意见完全正确。|易，更改。
不情之请|不合情理的请求，用作谦词。|
不落窠臼|比喻文章或艺术等有独创风格，不落俗套。|「正例」这本侦破小说，构思新颖，不落窠臼，值得一看。
不吝赐教|敬辞，用于自己向别人征求意见或请教问题。|
不可开交|无法摆脱或结束。|「错例」规模相当大的百货商场人来人往，挤得不可开交。
不可终日|形容形势危急或心中惶恐，一天都不能安心过下去。|惶惶不可终日。
不足为训|不能当作典范或法则。|训，准则。<br>「错例」这次错误虽然不很严重，但如果认为它不足为训，不引以为戒，以后就会吃大亏的。<br>「错例」事故的隐患越来越明显，厂领导还是认为不足为训，以致酿成了「8．19」大火。<br>「正例」这家工厂虽然也取得了某些经济效益，但他们的有些做法，却不足为训。
不修边幅|不注意衣着、容貌的整洁。|
不名一文|一个钱也没有。|亦作「不名一钱」。名：占有。<br>「错例」胡长青大提权钱交易，贪婪腐败，最后受到法律的严惩，他的人格真可说是不名一文。（用「不值一钱」为好）
不胫而走|比喻事情或消息不待推行，就迅速地传播、流行。|胫：jìng，小腿。<br>「错例」我收到美国朋友给我的来信，发现那上面的邮票不胫而走，不知被哪个集邮迷撕去了。
不即不离|不接近也不疏远。|即，接近。
不卑不亢|形容待人态度得体，分寸恰当。|卑，低下；亢，高傲。
不塞不流，不止不行|比喻旧思想文化不予以破坏，新思想、新文化就不能树立起来。|塞：sāi。
不稂不莠|比喻人不成材，没有出息。作贬义。|稂（láng），狼尾草；莠（yǒu），狗尾草。
不瘟不火|指戏曲不沉闷乏味，也不急促。|瘟，戏曲沉闷乏味；火，比喻紧急、急促。<br>常被误解为商品销售不够火爆，或作品一般化，没有特色。<br>「错例」我校这次喜庆「十六大」晚会的小品除《要钱》外，其他的都不瘟不火，很难令观众满意。
不忍卒读|不忍心读完，多形容文章悲惨动人。|「错例」一些文学期刊在对业余作者极端冷落的时候，对一些专业作家却极尽献媚之能事，搞什么组稿、约稿、专栏，致使一本刊物老是那几个作家的作品又并非佳作。有的作品枯燥乏味，不忍卒读。
不为已甚|指对人的责备或处罚适可而止。|为：wéi；已甚，过分。
不虞之事|没有料想到的事。|虞，预料。
步步为营|军队每前进一步就设置一道营垒。形容行动谨慎，防备严密。|营，军队驻扎的地方。
百身何赎|意思为自身死一百次也换不过来。比喻对死者极其沉痛的哀悼。|百身，意为死一百次；何，怎么；赎，抵罪。
百足之虫，死而不僵|原指马陆这种虫子被切断致死后仍然蠕动的现象。用来比喻人或集团虽已失败，但其势力和影响依然存在。（多含贬义）|
毕其功于一役|一把应该分成几步做的事一次做完。亦以形容急于求成。|毕，尽，完成。
表里山河|内有高山，外有大河。比喻地势险要。|
不二法门|原为佛家语，意为直接入道，不可言传的法门。后比喻最好的或独一无二的方法。|不二：指不是两极端；法门：指修行入道的门径。
兵不血刃|兵器上没有沾上血。形容未经战斗就轻易取得了胜利。|兵：武器；刃：刀剑等的锋利部分。
长此以往|老是这样下去（多就不好的情况说）。|「错例」自从电视上看了《少年英雄方世玉》，我就开始迷上了武侠小说，有时候上课也禁不住翻看几页，长此以往，我的学习成绩渐渐退步了。
从善如登|顺从好的就像登高一样。比喻学好不容易，要花力气。|登，升高。
从长计议|1，慢慢的多加商量；<br>2，从长远的角度考虑。|
从善如流|形容能很快地接受别人的意见，像水从高处流下一样自然。|「错例」大家因他乐于助人，从善如流，所以都称他为活雷锋。
陈言务去|陈旧的言词一定要去掉，也指写作时要排除俗套，努力创新。|
蠢蠢欲动|指敌人准备进行攻击或坏人策划破坏行动。（贬义词）|「错例」自从中国颁布实施外商投资法规以来，不少外商蠢蠢欲动，纷纷来中国投资。
春秋鼎盛|比喻正当壮年。|春秋，指年龄；鼎盛，正当旺盛之时。<br>「错例」身处春秋鼎盛的时代，我们这些身强力壮的青年应该奋发有为，积极向上，刻苦学习，为国家和社会多作贡献。<br>应用对象应该是人，不能用于修饰「时代」等，这里用错对象。
春风化雨|能长养万物的风和雨。后用来指良好教育的普遍深入。也常用来称颂师长的教诲。|
春秋笔法|孔丘修订《春秋》语句中含有褒贬。指文笔曲折而意含褒贬的写作手法。|
侧目而视|不敢从正面看，斜着眼睛看，形容畏惧而又愤怒|「错例」小李得了冠军就对同伴侧目而视，颇有点「老子天下第一」的劲头。<br>注：不能理解成敬佩、佩服，也不能理解成看不起。
城下之盟|因敌军兵临城下而被迫签订的屈辱性的和约。泛指被迫签订的不平等条约。|「错例」两个贪婪的家伙以为法院没有掌握他们鲸吞公款的罪行，利用机会订立城下之盟。
初出茅庐|比喻刚进入社会或刚到工作岗位上来，缺乏经验。|「错例」金教授退休后又被学校聘回，他非常兴奋，初出茅庐，就攻克了好几项国家课题。
穿云裂石|形容声音高亢嘹亮。|「错例」这些具有穿云裂石之功的大力士一上场，就把观众的目光吸引了过去。
惨淡经营|形容苦费心思于谋划并从事某项事情或事业。|惨淡，费尽心思；经营，谋划并从事某项事情。<br>「错例」虽然这公司在亚洲地区的肯德基连锁店一直业绩不错，并呈上升趋势。而它在欧美却一直是惨淡经营。两个月亏损3亿英镑。（应该为「走下坡路」）<br>常常被错误地理解为经营状况不好。
础润知雨|看到月晕能猜到要刮风，看到基石湿润就知道要下雨。比喻任何事物的发生都是有征兆的。|月晕而风，础润而雨。<br>础，屋的基石。
沧海一粟|好像大海里的一颗谷粒。形容非常渺小。|
沧海横流|比喻政治混乱，社会动荡不安。|沧海，指大海；横流，指水向四方奔流。
沧海桑田|大海变作桑田，桑田变作大海。比喻世事变化很大。|
曾几何时|才有多少时候。指时间过去没有多久。|「错例」今天的野狼峪，沟壑纵横，曾几何时，就将「天堑变通途」。<br>「错例」母亲是个多么善良、贤淑的女人啊。曾几何时，她是我作为女人的第一楷模。<br>不能误为「曾经」。
曾经沧桑|比喻曾经见过大世面，不把平常事放在眼里。|
椎心泣血|形容悲痛到了极点。|椎心，捶打胸脯；泣血，哭得眼中出血。
沧海遗珠|大海里的珍珠被采珠者所遗漏。比喻埋没人才或被埋没的人才。|
蟾宫折桂|旧时指人登科，现多指金榜题名、获得冠军。|蟾宫，月宫；折桂，指人考中进士。
楚楚可怜|形容年轻女子娇弱可爱。|可怜取其古意「可爱」，不能误解为可怜。<br>「错例」《卖火柴的小女孩》中那个楚楚可怜的小女孩的形象已深深地印刻在我们的脑海中。
椿萱并茂|比喻父母都健在。|椿萱：父母的代称。
尝鼎一脔|品尝鼎锅中的一块肉就可以推知整锅的食物的滋味。比喻根据部分可以推知全体。|脔：luán。
道貌岸然|神态庄严。常含讥讽意。|「错例」喜剧中的正面人物也应具有喜剧性，可这部喜剧中的两个正面人物的道貌岸然，不苟言笑，与整个影片的气氛极不协调。
登堂入室|比喻学问或技能由浅入深，循序渐进，达到了高深的地步。|也作「升堂入室」。<br>「错例」这次宣判的六个盗窃犯，长期以来，在龙桥一带，登堂入室，肆行扒窃，民愤极大。
登高自卑|褒义词。登高一定要从低处起步，比喻做事情要循序渐进，由浅入深。|卑：低。自卑，意为从低处起步。
得陇望蜀|比喻人贪得无厌，得到了这个，还想那个。|「错例」他这种得陇望蜀永不满足的精神，是值得所有企业家学习的。
得意忘言|既已领会其意旨，则不再需要表意之言词。后亦引申为彼此默喻，心照不宣。|「错例」听到女儿考上重点大学的好消息，老李竟高兴得手舞足蹈，得意忘言。
洞若观火|形容观察事物极其分明，就像看火一样。|
东窗事发|指罪行被揭露，案子发作。|「错例」汪锦元长期打入汪伪内部做情报工作，不料东窗事发，被捕入狱。
大方之家|懂得大道理的人。后泛指见识广博或学有专长的人，专家学者。|大方：大道理。<br>「错例」告别时，他非要送我几件高档衣料不可，真是大方之家。
大快人心|使人心里非常痛快。一般用于坏人坏事受到惩处。|「错例」我的好朋友考上大学，这真是一件大快人心的好事。
大放厥词|原指极力铺陈辞藻，现多指夸夸其谈，大发议论，多是贬义。|厥，其，代词，他的。
党同伐异|跟自己意见相同的就结为朋党，不合的就加以攻击。常指集团间的争斗。|「错例」老王总是心直口快，党同伐异，对有缺点的同志总是一针见血地指出。
待价而沽|等待高价出售。旧时比喻某些人等待时机出来做官。现多比喻等待有好的待遇、条件才肯答应任职或做事。|沽，gū，出卖。
当仁不让|遇到应该做的事就要勇于承担，不谦让，不推托。|仁，正义，正义的事，引申为应该做的事。<br>「错例」尽管我与他们中的大部分都不认识，但他们在电话中一听我的来意，几乎都是一口答应接受采访，其当仁不让之情溢于言表。
灯红酒绿|中性词。形容寻欢作乐的腐化生活。也形容都市或娱乐场所夜晚的繁华景象。|「正例」每当夜幕降临，饭店里灯红酒绿，热闹非常。
独具只眼|能看到别人看不到的东西，形容眼光敏锐，见解高超。|
等量齐观|指对有差别的事物，以同等的标准来衡量。常用于否定句。|等：同等，相等；量：估量，衡量；齐：同样。
等闲视之|当作平常的人或事物看待。多用于否定句。|「错例」应对高考，我们需一颗平常心，等闲视之，否则便会与成功失之交臂。<br>常误用于肯定句中。
殚精竭虑|耗尽精力，费尽心思。|竭：用尽。虑：思虑，思考。<br>「正例」五十年来，我国取得了一批批举世瞩目的科研成果，这同几代科技工作者殚精竭虑、忘我工作是密不可分的。
箪食壶浆|古时候老百姓用箪盛饭，用壶盛汤老欢迎他们所拥护的军队。后来用此形容军队受欢迎的情况。|箪，古代盛饭的竹器；食，食物。
叠床架屋|床上放床，屋上架屋，比喻重复累赘。|「正例」要精简那些叠床架屋的机构，提高工作效率。
大而无当|贬。虽然大，但是不合用。|
大器晚成|指能担当大事的人物要经过长期的锻炼，所以成就比较晚。|
顶礼膜拜|比喻崇拜到极点。多用于贬义。|

# 101-200

多事之秋|事故或事变多的时期，多指动荡不安的政局。|
大快朵颐|痛痛快快地大吃一顿。|朵颐：鼓动腮颊，即大吃大嚼。
耳提面命|不但当面告诉他，而且揪着他的耳朵叮嘱。形容恳切地教导。|「错例」教育要讲究方式方法，不能总是耳提面命，摆家长作风。
耳濡目染|经常接触就自然而然受到影响。|濡：rú；沾湿。染：沾染。<br>「错例」虽然是第一次，但由于写的都是那天自己耳濡目染的事情，因此写得生动、现实感强。（改「亲身经历」为好）
耳鬓厮磨|形容亲密相处的情景。指小儿女的相爱。|鬓，面颊两边的头发；厮，互相。
尔虞我诈|你欺骗我，我欺骗你。彼此互相猜疑欺骗。|尔，你；虞，欺骗。
匪夷所思|原指一般人所想不到的。后来形容人的思想离奇。|匪：fěi，不是；夷：平常。<br>「错例」日出而作，日落而息，他们就这样日复一日，年复一年地劳作生活在这片广袤的土地上，真有点令人匪夷所思。
翻然悔悟|形容很快悔改醒悟。|翻（幡）然，大转变的样子。
焚膏继晷|形容夜以继日地用功读书或努力工作。|晷：guǐ，日影。
焚琴煮鹤|拿琴当柴烧，把鹤煮了吃。比喻糟蹋美好的事物，大煞风景。|「错例」侯老很动情地说：「搞旅游，建宾馆，无可厚非，但绝不能焚琴煮鹤，任意破坏植被、水源和野外文物。」
犯而不校|别人触犯了自己也不要计较。|犯：触犯；校：jiào，计较。<br>「错例」一个人在工作中难免有一些缺点和错误，只要认真改正就行，不能犯而不校。
沸沸扬扬|像沸腾的水一样喧闹。形容议论纷纷。不形容场面热闹。|「错例」今年夏天的文坛热闹非凡，文学出版界沸沸扬扬，名家小将的作品纷纷出手。
凤毛麟角|比喻稀少而可贵的人或事。|「错例」巴基斯坦的斯瓦特被誉为「东方的瑞士」，但「9·11」事件以后，来这里旅游的人几乎是凤毛麟角。
奉为圭臬|把某些事物、言论奉为准则。|圭臬，比喻事物的准则。
浮光掠影|水面上的反光，一晃而过的影子。比喻匆匆看了一下，观察不细，印象不深。|浮光：反光；掠：轻轻擦过，闪过。<br>「错例」最近到沿海地区，虽只是浮光掠影地看看，但那里的变化，却给我留下极深刻的印象。（与「极深刻的印象」矛盾）
防微杜渐|在错误或坏事刚露头的时候，就加以防止，不让它发展。|微：微小，指事物的苗头；杜：杜绝，堵塞。渐：事物的发展。
反戈一击|掉转武器向自己原来所属的阵营进行攻击。不是「反击」。|「错例」2002 年韩日世界杯上，东道主日本队小组赛在 2：1 领先的大好形势下，被比利时队反戈一击，扳成平局，失去了到手的三分。
付之一笑|一笑了之，表示毫不介意。|「错例」他待人态度谦和，不论遇到谁，都付之一笑。付之一炬——给它一把火，指全部烧毁。也说付诸一炬。
俯首贴耳|贬义。十分听话，奴气十足。|「错例」受到称赞，不应趾高气扬；受到批评，也不应该俯首贴耳。
俯拾皆是|只要低下头来捡取，到处都是。形容多而易得。|可以是某一类东西、某一类例证、文章中的错别字等。
附庸风雅|为了装点门面而结交名士，从事有关文化的活动。|附庸，追随；风雅，文雅。
繁文缛节|烦琐、无意义的仪式或礼节。|文：仪式，规定；缛：rù，繁多。<br>「错例」「简练为文」是适应快节奏运行的时代要求的，所以写作应删除繁文缛节，追求「无可削」、「不得减」的高水准。
粉墨登场|原化装上台演戏。今多比喻登上政治舞台（含讥讽意）。|「错例」王帆竞选班长一职成功，就职演说那天，他精心准备后粉墨登场。
分庭抗礼|原指宾主相见，站在庭院的两边，相对行礼。现在用来比喻平起平坐，互相对立。|
纷至沓来|纷纷到来，连续不断地到来。|
放浪形骸|行为放纵，不受世俗礼法的束缚。|放浪，放纵，不受拘束；形骸，形体。
风雨如晦，鸡鸣不已|风雨交加天色昏暗的早晨，雄鸡啼叫不止。比喻在黑暗的社会里不乏有识之士。|晦：黑暗；已：止。
风雨如晦|用来形容局势动荡或社会黑暗。|
高山景行|比喻崇高的德行。|
高山流水|1、比喻知己或知音。<br>2、也比喻乐曲高妙。|「错例」他先是反复思考，认真研究材料，然后执笔成文，行文如高山流水自然流畅，受到人们一致好评。<br>「错例」雨过天晴，我们站在山崖边欣赏着高山流水，心里有一种说不出的愉快。
高谈阔论|多指不着边际地大发议论。|「错例」刚刚参观了城市远景规划展览的政协委员们在座谈会上高谈阔论，畅所欲言，表现出参政议政的极大热情。
高屋建瓴|在高高的屋顶上把瓶子里的水往下倒。比喻居高临下，不可阻挡的形势。|瓴：líng，盛水的瓶子。<br>「错例」这座度假村建在山的最高处，面对着一望无际的大海，远远望去，的确给人以高屋建瓴的感觉。
隔靴搔痒|比喻说话作文等不中肯，没有抓住解决问题的关键。|「错例」季岚峰违规操作是要批评的，但他自尊心特别强，又是初犯，批评时不要太尖锐，隔靴搔痒点到为止就行了。
管窥蠡测|从竹管里看天，用瓢来测量海水。比喻眼光狭小，见识短浅。|蠡：lí，瓢；测：量。<br>「错例」作家如果不深入生活，坐在屋子里管窥蠡测，就创作不出受人民群众欢迎的作品。
光怪陆离|1、形容形象奇异，色彩繁杂。<br>2、形容事物离奇多变。|「正例」面对光怪陆离的现代观念，他们能从现实生活的感受出发，汲取西方艺术的精华，积极探索新的艺术语言。
改头换面|贬比喻只改外表和形式，内容实质不变。不表示旧貌换新颜。|「错例」我的家乡植被被严重破坏，以往曾多次受到沙尘暴的侵袭，在人民群众的积极治理下，只不过几年，家乡就改头换面，山清水绿，牛肥羊多。
改弦易辙|乐器换掉弦，车子改换道路。比喻改变计划或做法。|「错例」虽然这个店的招牌几易其名，改弦易辙，但因其服务质量差，顾客仍然门可罗雀。
改弦更张|改换、调整乐器上的弦，使声音和谐。比喻改革制度或变更做法。|张：给乐器上弦。<br>「错例」教学秩序整顿以后，以前那种不正常的师生关系也应该改弦更张了。
感同身受|原指感激的心情如同亲身受到对方的恩惠一样（多用来代替别人表示谢意）。现多指虽未亲身经历，但感受就同亲身经历过一样。|
甘之如饴|感到像糖一样甜。多比喻表示甘愿承受艰难、痛苦。|甘：甜，引申为甘愿，乐意；饴：yí，饴糖，麦芽糖。<br>「错例」生活水平的提高让他精神愉快，这种甘之如饴的生活让他感到满足。
功败垂成|事情将要成功的时候，遭到了失败。|「错例」太平天国农民起义军领袖，本可以把革命进行到底，但结果却半途而废，功败垂成，真令人惋惜。（与「半途而废」矛盾）
狗尾续貂|比喻拿不好的东西续在好东西的后面，显得好坏不相称。多指文学作品。|「错例」文章这两段之原先衔接得很顺当，修改者却在中间硬加了两个所谓「过渡句」，反而给人以狗尾续貂之感。
过犹不及|事情做过了头，就跟做得不够一样，都是不对的。|犹：如，同；及：到。
鬼斧神工|1、建筑、雕塑等技艺精巧。<br>2、形容自然景物的精美或神奇|
巧夺天工|精巧的人工胜过天然，形容技艺极其的精湛。|
瓜田李下|指容易发生嫌疑的地方。|「瓜田不纳履，李下不整冠」<br>在瓜地里不要弯腰提鞋，在结着李子的树下不要举手整地帽子。
果不其然|果然如此。指事物的发展变化跟预料的一样。|「错例」听说这位气功大师能够功发疾消，今天会了他一下，果不其然，他没有那么大的能耐。
狗彘不食|形容人的品质极其恶劣。|「正例」汪精卫之流是遗臭万年、狗彘不食的大汉奸。
绠短汲深|吊桶的绳子很短，却要从深井里打水。比喻能力微薄，任务重大，难以胜任。（多用作谦词）|绠，打水用的绳子；汲，从下往上打水。
功亏一篑|比喻一件大事情只差最后一点人力物力而没有完成。含惋惜意。|亏，缺少；篑，土筐。
故步自封|比喻安于现状，不求进步。|故步，走老步子；封，限制住。「故」也作「固」。
过眼云烟|比喻很快就消失的事物。|
姑妄言之|姑且随便说说，不一定有什么道理。多用作自谦|「错例」在座的各位都是本领域的顶尖专家，我们请大家来，就是想听听各位的高见，大家不必客气．就姑妄言之吧。<br>用来说别人不恰当。
好为人师|喜欢做别人的老师，喜欢以教育者自居，表示不谦虚。贬义。|「错例」在这所山村小学里，他一干就是三十年，全身心扑在了学生身上。他常说：「要有下一辈子，还当孩子王！」王老师的这种好为人师的精神深深地感动了那些纯朴的乡亲们。
好整以暇|形容虽在百忙之中，仍然严整有序，从容不迫。|
好大喜功|指不管条件是否许可，一心想做大事，立大功。多贬义。|
河清海晏|黄河的水清了，大海也平静了，形容天下太平。|「错例」环境污染曾一度成为某沿海城市经济发展的最大障碍，经过大力的治理，该市现在已是天蓝地白，河清海晏了。
和盘托出|愿意是端东西时连盘子一起托了出来。比喻全都说出来或拿出来，没有保留。|
鸿篇巨制|指规模宏大的著作。|「正例」《康熙王朝》是一部以史实为依据的鸿篇巨制，它囊括了康熙在位时所有的重大历史事件。
含英咀华|口中含着花细细咀嚼。比喻琢磨和领会诗文的要点和精神。|咀：jǔ，细嚼；英、华：花。
皓首穷经|钻研经典一直到老。|皓：hào；皓首：白头；穷：研究到极点。
毫发不爽|一点也不差。|毫发，毫毛和头发，形容极其细微。<br>「错例」小王今天淋了雨，周身湿透，毫发不爽，应赶快吃点防感冒的药。<br>常常误解为「身体很不舒服」。
涣然冰释|像冰块遇热，一下子就融解了。比喻疑虑、误会、嫌怨很快消除。|「错例」这部轻喜剧逗得大家哈哈大笑，人们所有的烦恼都涣然冰释了。
怙恶不悛|坚持作恶不肯悔改。|怙：hù，依靠；悛：quān，悔改。
火中取栗|比喻为别人冒险，自己上当，一无所得。也比喻冒险行事，使自己蒙受损失。|栗：lì。<br>「错例」今年初上海鲜牛奶市场燃起竞相降价的烽火，销售价格甚至低于成本，这对消费者来说倒正好可以火中取栗。
怀瑾握瑜|比喻人具有纯洁而美好的品德。|瑾、瑜：美玉。
毁家纾难|捐献全部家产，解救国难。|毁家：分散家产；纾：shū，解除、缓和。
祸起萧墙|祸乱就发生在家里，泛指内部发生祸乱。|萧墙：古代宫室内当门的小墙（照壁），比喻内部。<br>「正例」某些人以「祸起萧墙」来解释「9·11」恐怖事件的本源，显然是不公允的。
虎视眈眈|形容贪婪而凶狠地注视。|眈眈：dān，注视的样子。<br>「错例」战士们正趴在堑壕沿上，紧握着钢枪，虎视眈眈地望着敌营。（褒贬误用）
骇人听闻|使人听了非常震惊。多指坏事。|骇：hài，惊吓。<br>「正例」今年春节期间，山西某地发生了一起骇人听闻的假酒案。耸人听闻：过分夸大其词。
绘声绘色|指讲述、描写非常生动、逼真。|「错例」这场戏演得绘声绘色，赢得满场观众的喝彩。<br>不用于演戏。
海市蜃楼|比喻虚幻的事物。|
鹤发童颜|白白的头发，红红的脸色。形容老年人气色好。|
呼之欲出|1、指人像画的逼真，似乎叫一声他就会从画里走出来，泛指文学作品中人物的描写十分生动。<br>2、指某事即将揭晓或出现。|
讳莫如深|紧紧隐瞒。|
集腋成裘|狐狸腋下的皮虽很小，但聚集起来就能制一件皮袍。比喻积少成多。|「错例」小错误也不能放过，须知集腋成裘，小错积多了，也会对工作造成大的损害。
激浊扬清|冲去污水，让清水上来。比喻抨击坏人坏事，褒扬好人好事。|激：冲去。浊：脏水。
积重难返|形容长期形成的不良风俗、习惯不易改变。也指长期积累的问题不易解决。多指恶习、弊端发展到难以割除的地步。|
吉光片羽|神兽的一小块毛皮，比喻残余仅存的古代文物。|吉光：古代神话中的神兽名；片羽，一片羽毛。
既往不咎|对过去的错误不再责备。|既，已经；往，过去；咎，责备，加罪。
加人一等|高出别人一等，指学问、才能出众。|
间不容发|1、距离很近，中间不能放进一根头发。<br>2、比喻情势危急到了极点。|
见微知著|见到一点苗头就能看清事情的发展趋向或问题的实质。褒义词|微：小，指刚露出的一点苗头；著：明显。
金科玉律|比喻不能变更的信条或法律条文。|科、律：法律条文。
金石为开|形容意志坚决，能克服一切因难。|金石：金属和石头，泛指坚硬的东西。
金瓯无缺|比喻国土完整。|瓯：ōu。金瓯：黄金做的盆类器皿，比喻完整的疆土，泛指国土。
金碧辉煌|形容建筑物等华丽精致，光彩耀目。|
金针度人|比喻把秘法、诀窍传给别人。|
金玉满堂|1、占有很多财富。<br>2、比喻人很有才学，学识丰富。|
敬谢不敏|指恭敬地表示没有能力或不能接受，表示推辞做某事的客气话。|谢，推辞；不敏，无能。<br>「错例」本书可能不无作者一些间接乃至来自历史沧桑的若干体验，读者果能有所得，我等未瞎说一气就心安了，至于方家不吝赐教，更是我等敬谢不敏的。（这里应为「求之不得」）
泾渭分明|泾河水清，渭河水浑，泾河的水流入渭河时，清浊不混，比喻界限清楚。|
矫枉过正|比喻纠正事物的偏失、错误过了头，而陷入另一种偏失、错误之中。|「错例」我们做任何工作，都有失误的可能，只有时常注意矫枉过正，才能把工作做得更好。
岌岌可危|形容十分危险，快要倾覆或灭亡。|「正例」自从东南亚金融危机爆发，向他国提供贷款的日本银行也岌岌可危，日本的金融体系动荡不安。
疾首蹙额|头痛、皱眉头。形容厌恶、痛恨的样子。|疾首，头疼；蹙额，皱眉头。
急公好义|热心公益，见义勇为。|「错例」现在许多年轻人急公好义，不愿踏实学习和工作，希望像超女一样参加电视选秀，以达到快速成名的目的。
剑拔弩张|形容形势紧张，一触即发。|
久假不归|长期的借用不归还。|假，借用；归，归还。<br>「错例」开学已经四天了，他仍然久假不归，家里一定是出了什么事。
具体而微|内容大体具备而形状或规模较小。|「错例」无论做什么事，都不能急于事功。而应该具体而微、踏踏实实地从小事做起。<br>误解为「具体而细小」
君子之交淡如水|君子之间的交往不含任何功利之心，他们的交往纯属友谊，不尚虚华。|「错例」他是一个处事谨慎的人，一向奉行君子之交淡如水的原则，所以很少交朋友，即使有朋友，也不愿交往过深。
